"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"03.03.2022","294,97","291,80","294,97","288,88","-","1,09%"
"02.03.2022","291,80","292,49","292,53","285,50","-","-0,24%"
"01.03.2022","292,49","280,02","292,69","280,02","-","4,45%"
"28.02.2022","280,02","280,51","283,73","277,06","-","-0,17%"
"25.02.2022","280,51","276,28","281,35","271,99","-","1,53%"
"24.02.2022","276,28","282,38","290,09","271,16","-","-2,16%"
"23.02.2022","282,38","277,59","284,67","276,19","-","1,73%"
"22.02.2022","277,59","282,68","285,22","276,00","-","-1,80%"
"18.02.2022","282,68","285,04","285,04","279,95","-","-0,83%"
"17.02.2022","285,04","275,02","286,97","275,02","-","3,64%"
"16.02.2022","275,02","266,17","276,06","266,17","-","3,32%"
"15.02.2022","266,17","270,52","270,52","259,99","-","-1,61%"
"14.02.2022","270,52","265,40","271,07","265,40","-","1,93%"
"11.02.2022","265,40","250,26","267,73","250,26","-","6,05%"
"10.02.2022","250,26","257,24","259,43","249,21","-","-2,71%"
"09.02.2022","257,24","258,81","260,26","256,54","-","-0,61%"
"08.02.2022","258,81","255,17","258,81","254,54","-","1,43%"
"07.02.2022","255,17","246,28","255,98","246,28","-","3,61%"
"04.02.2022","246,28","245,83","248,94","244,21","-","0,18%"
"03.02.2022","245,83","248,89","249,09","243,12","-","-1,23%"
"02.02.2022","248,89","248,46","252,68","246,04","-","0,17%"
"01.02.2022","248,46","247,12","251,37","245,80","-","0,54%"
"31.01.2022","247,12","240,19","247,52","240,19","-","2,89%"
"28.01.2022","240,19","241,85","241,85","236,37","-","-0,69%"
"27.01.2022","241,85","248,41","249,21","241,24","-","-2,64%"
"26.01.2022","248,41","257,27","258,94","246,59","-","-3,44%"
"25.01.2022","257,27","254,38","258,31","250,01","-","1,14%"
"24.01.2022","254,38","256,24","256,24","246,57","-","-0,73%"
"21.01.2022","256,24","262,51","263,96","255,03","-","-2,39%"
"20.01.2022","262,51","267,76","269,55","262,33","-","-1,96%"
"19.01.2022","267,76","248,19","268,63","248,19","-","7,89%"
"18.01.2022","248,19","251,62","253,03","247,43","-","-1,36%"
"14.01.2022","251,62","254,17","254,17","249,55","-","-1,00%"
"13.01.2022","254,17","257,67","258,46","254,04","-","-1,36%"
"12.01.2022","257,67","253,36","257,72","252,43","-","1,70%"
"11.01.2022","253,36","248,25","253,42","246,92","-","2,06%"
"10.01.2022","248,25","243,35","248,25","240,61","-","2,01%"
"07.01.2022","243,35","241,51","244,51","239,90","-","0,76%"
"06.01.2022","241,51","249,69","249,69","241,31","-","-3,28%"
"05.01.2022","249,69","254,39","259,83","249,35","-","-1,85%"
"04.01.2022","254,39","253,12","258,05","253,03","-","0,50%"
"03.01.2022","253,12","258,87","258,87","252,96","-","-2,22%"
"31.12.2021","258,87","257,19","259,51","256,65","-","0,65%"
"30.12.2021","257,19","252,40","257,64","252,40","-","1,90%"
"29.12.2021","252,40","252,84","255,53","249,80","-","-0,17%"
"28.12.2021","252,84","253,89","257,19","252,56","-","-0,41%"
"27.12.2021","253,89","253,89","255,57","251,39","-","0,00%"
"23.12.2021","253,89","252,09","254,75","249,68","-","0,71%"
"22.12.2021","252,09","248,77","252,35","246,07","-","1,33%"
"21.12.2021","248,77","247,30","249,97","245,74","-","0,59%"
"20.12.2021","247,30","247,52","247,52","243,43","-","-0,09%"
"17.12.2021","247,52","248,16","253,20","247,35","-","-0,26%"
"16.12.2021","248,16","235,91","248,52","235,91","-","5,19%"
"15.12.2021","235,91","239,67","239,67","230,48","-","-1,57%"
"14.12.2021","239,67","243,53","243,53","239,12","-","-1,59%"
"13.12.2021","243,53","242,04","245,76","241,76","-","0,62%"
"10.12.2021","242,04","244,64","245,74","241,11","-","-1,06%"
"09.12.2021","244,64","251,59","251,59","243,36","-","-2,76%"
"08.12.2021","251,59","251,10","251,90","248,40","-","0,20%"
"07.12.2021","251,10","249,57","253,23","249,52","-","0,61%"
"06.12.2021","249,57","245,90","250,24","243,43","-","1,49%"
"03.12.2021","245,90","243,86","246,92","241,02","-","0,84%"
"02.12.2021","243,86","246,53","246,60","240,13","-","-1,08%"
"01.12.2021","246,53","254,61","260,34","246,47","-","-3,17%"
"30.11.2021","254,61","255,76","263,37","252,56","-","-0,45%"
"29.11.2021","255,76","256,03","256,03","251,63","-","-0,11%"
"26.11.2021","256,03","258,25","260,19","251,94","-","-0,86%"
"24.11.2021","258,25","258,85","259,96","256,25","-","-0,23%"
"23.11.2021","258,85","262,91","262,91","255,39","-","-1,54%"
"22.11.2021","262,91","267,51","267,51","258,50","-","-1,72%"
"19.11.2021","267,51","272,66","273,92","267,32","-","-1,89%"
"18.11.2021","272,66","276,83","276,90","271,56","-","-1,51%"
"17.11.2021","276,83","274,69","280,25","274,69","-","0,78%"
"16.11.2021","274,69","278,91","280,50","274,32","-","-1,51%"
"15.11.2021","278,91","278,09","279,41","275,09","-","0,29%"
"12.11.2021","278,09","276,33","279,92","272,15","-","0,64%"
"11.11.2021","276,33","269,23","277,14","269,23","-","2,64%"
"10.11.2021","269,23","263,72","273,95","263,72","-","2,09%"
"09.11.2021","263,72","259,15","263,77","257,72","-","1,76%"
"08.11.2021","259,15","258,90","261,58","257,12","-","0,10%"
"05.11.2021","258,90","250,94","258,90","250,92","-","3,17%"
"04.11.2021","250,94","252,13","259,48","250,61","-","-0,47%"
"03.11.2021","252,13","249,51","253,24","244,83","-","1,05%"
"02.11.2021","249,51","250,58","250,58","246,82","-","-0,43%"
"01.11.2021","250,58","248,89","252,18","246,45","-","0,68%"
"29.10.2021","248,89","256,41","256,41","248,72","-","-2,93%"
"28.10.2021","256,41","261,75","261,75","255,83","-","-2,04%"
"27.10.2021","261,75","262,64","264,40","260,16","-","-0,34%"
"26.10.2021","262,64","263,84","263,84","260,60","-","-0,45%"
"25.10.2021","263,84","259,75","265,65","259,75","-","1,57%"
"22.10.2021","259,75","257,88","267,82","257,88","-","0,73%"
"21.10.2021","257,88","257,66","258,31","255,19","-","0,09%"
"20.10.2021","257,66","255,28","260,19","255,28","-","0,93%"
"19.10.2021","255,28","252,42","257,90","252,42","-","1,13%"
"18.10.2021","252,42","255,50","255,50","251,82","-","-1,21%"
"15.10.2021","255,50","257,79","257,79","250,12","-","-0,89%"
"14.10.2021","257,79","253,15","258,25","253,15","-","1,83%"
"13.10.2021","253,15","244,82","254,76","244,82","-","3,40%"
"12.10.2021","244,82","238,96","245,01","238,59","-","2,45%"
"11.10.2021","238,96","240,49","243,37","238,47","-","-0,64%"
"08.10.2021","240,49","238,92","245,92","238,92","-","0,66%"
"07.10.2021","238,92","237,32","241,32","236,54","-","0,67%"
"06.10.2021","237,32","231,90","237,42","230,10","-","2,34%"
