"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"01.04.2022","25,81","27,66","27,79","25,65","-","-0,04%"
"31.03.2022","25,82","26,76","27,65","25,75","-","-3,51%"
"30.03.2022","26,76","27,18","27,28","26,02","-","-5,01%"
"29.03.2022","28,17","28,90","28,91","28,00","-","-6,60%"
"28.03.2022","30,16","32,06","32,48","29,98","-","-4,44%"
"25.03.2022","31,56","29,26","32,36","28,42","-","9,93%"
"24.03.2022","28,71","28,87","28,89","27,29","-","1,52%"
"23.03.2022","28,28","29,21","29,38","27,93","-","-5,95%"
"22.03.2022","30,07","33,05","33,06","29,74","-","-11,27%"
"21.03.2022","33,89","33,96","34,81","33,64","-","2,05%"
"18.03.2022","33,21","37,25","37,25","33,17","-","-11,63%"
"17.03.2022","37,58","43,26","43,26","36,93","-","-8,56%"
"16.03.2022","41,10","41,91","45,16","39,72","-","-16,87%"
"15.03.2022","49,44","41,95","50,83","40,45","-","30,04%"
"14.03.2022","38,02","34,28","38,51","34,28","-","19,75%"
"11.03.2022","31,75","32,27","34,10","30,86","-","4,27%"
"10.03.2022","30,45","30,72","31,32","29,84","-","-6,60%"
"09.03.2022","32,60","32,11","36,38","31,45","-","-3,86%"
"08.03.2022","33,91","32,49","34,83","31,46","-","1,86%"
"07.03.2022","33,29","33,16","35,80","31,81","-","19,15%"
"04.03.2022","27,94","28,53","28,87","27,19","-","7,67%"
"03.03.2022","25,95","26,44","26,85","25,76","-","-6,69%"
"02.03.2022","27,81","26,97","28,29","26,43","-","9,19%"
"01.03.2022","25,47","26,45","26,45","25,12","-","-5,63%"
"28.02.2022","26,99","27,16","28,65","26,86","-","1,58%"
"25.02.2022","26,57","25,90","27,10","25,82","-","-9,87%"
"24.02.2022","29,48","27,97","31,59","27,23","-","16,38%"
"23.02.2022","25,33","26,01","26,10","25,12","-","-7,96%"
"22.02.2022","27,52","27,15","28,67","26,37","-","12,65%"
"21.02.2022","24,43","25,62","25,66","24,35","-","-2,32%"
"18.02.2022","25,01","25,02","25,09","24,15","-","5,88%"
"17.02.2022","23,62","23,59","24,60","23,22","-","-0,04%"
"16.02.2022","23,63","23,98","24,10","23,35","-","-6,75%"
"15.02.2022","25,34","25,03","25,94","24,81","-","0,44%"
