Días Transaccionales S&P500;S&P500;Europa;Japón;Asia Pacífico;Asia Emergente;Latam;Europa Emergente;Caja USD y Short Duration;Treasuries;Treasuries 20+ Años;US HY;US IG;Deuda Emergente
12/02/2012;100;100;100;100;100;100;100;100;100;100;100;100;100
13/02/2012;99,262;98,0713;98,7692;97,7495;100;97,9517;97,4302;100,0237;100,5638;101,2988;99,4708;100,136;99,6946
14/02/2012;100,000013;99,06250663;99,79481937;99,24985708;100;99,38551698;100,4442032;99,96448597;100,4969251;101,4286651;99,4708;100,1722492;100,2245765
15/02/2012;99,87441295;98,17847282;99,48715194;98,52245487;100;97,84921566;99,49239397;99,98817755;100,7071646;101,965527;99,37003608;100,2538896;100,3862387
16/02/2012;99,40899819;97,88383922;101,1281925;98,68156864;100;97,05037467;100,0952184;99,99997616;100,7836014;101,7837225;98,94165185;100,2175977;100,5209571
17/02/2012;100,5090582;99,25000397;102,1025627;99,22717903;97,7998;98,50467453;101,078754;99,96447617;100,3249352;100,969758;99,31970791;100,1994583;100,4041517
18/02/2012;100,5090582;99,25000397;102,1025627;99,22717903;97,7998;98,50467453;101,078754;99,96447617;100,3249352;100,969758;99,31970791;100,1994583;100,4041517
19/02/2012;100,5090582;99,25000397;102,1025627;99,22717903;97,7998;98,50467453;101,078754;99,96447617;100,3249352;100,969758;99,31970791;100,1994583;100,4041517
20/02/2012;100,5090582;99,25000397;102,1025627;99,22717903;97,7998;98,50467453;101,078754;99,96447617;100,3249352;100,969758;99,31970791;100,1994583;100,4041517
21/02/2012;100,7757087;99,67856548;102,2564312;98,84068917;97,7998;99,30354744;101,1104927;99,94078459;100,2197947;100,9438088;99,42051741;100,0725056;100,1876804
22/02/2012;100,82005;99,81253348;102,153868;99,79549023;102,8727734;98,68905709;100,6029181;99,91709862;99,85669836;99,82686555;99,74810801;99,91829388;100,6467403
23/02/2012;100,4965185;99,30358937;102,4102742;99,70457653;100,345498;98,66852977;99,80976465;99,96445932;100,2484362;101,0840851;100,0001715;100,199464;100,9162723
24/02/2012;100,9390046;100,2679265;103,0769651;100,3410906;100,5636491;99,01673101;100,9201483;99,95266352;100,3917915;101,0789298;100,6049725;100,2811265;101,1587741
