Date;spy us equity;;iev us equity;;EWJ us equity;;EPP us equity;;EEMA us equity;;ILF us equity;;RSX us equity;;SHY us equity;;IEF us equity;;TLT us equity;;JNK us equity;;AGG us equity;;EMB us equity
#¿NOMBRE?;-0,738;#¿NOMBRE?;-1,9287;#¿NOMBRE?;-1,2308;#¿NOMBRE?;-2,2505;#¿NOMBRE?;-2,2002;#¿NOMBRE?;-2,0483;#¿NOMBRE?;-2,5698;#¿NOMBRE?;0,0237;#¿NOMBRE?;0,5638;#¿NOMBRE?;1,2988;#¿NOMBRE?;-0,5292;#¿NOMBRE?;0,136;#¿NOMBRE?;-0,3054
13/02/2012;0,7435;13/02/2012;1,0107;13/02/2012;1,0384;13/02/2012;1,5349;17/02/2012;5,1871;13/02/2012;1,4638;13/02/2012;3,0935;13/02/2012;-0,0592;13/02/2012;-0,0665;13/02/2012;0,1282;13/02/2012;0;13/02/2012;0,0362;13/02/2012;0,5316
14/02/2012;-0,1256;14/02/2012;-0,8924;14/02/2012;-0,3083;14/02/2012;-0,7329;22/02/2012;-2,4567;14/02/2012;-1,5458;14/02/2012;-0,9476;14/02/2012;0,0237;14/02/2012;0,2092;14/02/2012;0,5293;14/02/2012;-0,1013;14/02/2012;0,0815;14/02/2012;0,1613
15/02/2012;-0,466;15/02/2012;-0,3001;15/02/2012;1,6495;15/02/2012;0,1615;23/02/2012;0,2174;15/02/2012;-0,8164;15/02/2012;0,6059;15/02/2012;0,0118;15/02/2012;0,0759;15/02/2012;-0,1783;15/02/2012;-0,4311;15/02/2012;-0,0362;15/02/2012;0,1342
16/02/2012;1,1066;16/02/2012;1,3957;16/02/2012;0,9635;16/02/2012;0,5529;24/02/2012;-0,3435;16/02/2012;1,4985;16/02/2012;0,9826;16/02/2012;-0,0355;16/02/2012;-0,4551;16/02/2012;-0,7997;16/02/2012;0,3821;16/02/2012;-0,0181;16/02/2012;-0,1162
17/02/2012;0,2653;17/02/2012;0,4318;17/02/2012;0,1507;17/02/2012;-0,3895;27/02/2012;-1,1482;17/02/2012;0,811;17/02/2012;0,0314;17/02/2012;-0,0237;17/02/2012;-0,1048;17/02/2012;-0,0257;17/02/2012;0,1015;17/02/2012;-0,1267;17/02/2012;-0,2156
21/02/2012;0,044;21/02/2012;0,1344;21/02/2012;-0,1003;21/02/2012;0,966;28/02/2012;0,8312;21/02/2012;-0,6188;21/02/2012;-0,502;21/02/2012;-0,0237;21/02/2012;-0,3623;21/02/2012;-1,1065;21/02/2012;0,3295;21/02/2012;-0,1541;21/02/2012;0,4582
22/02/2012;-0,3209;22/02/2012;-0,5099;22/02/2012;0,251;22/02/2012;-0,0911;02/03/2012;1,4197;22/02/2012;-0,0208;22/02/2012;-0,7884;22/02/2012;0,0474;22/02/2012;0,3923;22/02/2012;1,2594;22/02/2012;0,2527;22/02/2012;0,2814;22/02/2012;0,2678
23/02/2012;0,4403;23/02/2012;0,9711;23/02/2012;0,651;23/02/2012;0,6384;05/03/2012;-1,2742;23/02/2012;0,3529;23/02/2012;1,1125;23/02/2012;-0,0118;23/02/2012;0,143;23/02/2012;-0,0051;23/02/2012;0,6048;23/02/2012;0,0815;23/02/2012;0,2403
24/02/2012;0,2188;24/02/2012;0,8549;24/02/2012;0,199;24/02/2012;0,1812;07/03/2012;-3,0358;24/02/2012;0,2689;24/02/2012;4,1496;24/02/2012;-0,0237;24/02/2012;0,0761;24/02/2012;0,6545;24/02/2012;0,1002;24/02/2012;0,0271;24/02/2012;0,222
27/02/2012;0,168;27/02/2012;-0,7417;27/02/2012;-0,5958;27/02/2012;0,0226;09/03/2012;3,2996;27/02/2012;-0,5158;27/02/2012;0,5735;27/02/2012;0,0237;27/02/2012;0,3329;27/02/2012;0,8851;27/02/2012;-0,0501;27/02/2012;0,3165;27/02/2012;0,0089
28/02/2012;0,2909;28/02/2012;0,854;28/02/2012;1,5984;28/02/2012;0,3165;12/03/2012;-1,4156;28/02/2012;1,6798;28/02/2012;-0,3301;28/02/2012;0,0237;28/02/2012;0,0474;28/02/2012;-0,329;28/02/2012;0,3505;28/02/2012;-0,0721;28/02/2012;0,3012
29/02/2012;-0,3918;29/02/2012;-1,0849;29/02/2012;-1,7699;29/02/2012;-0,2028;16/03/2012;1,5646;29/02/2012;-0,8362;29/02/2012;-0,5721;29/02/2012;0;29/02/2012;-0,398;29/02/2012;-0,6094;29/02/2012;0,025;29/02/2012;-0,0992;29/02/2012;0,0795
