"Date","Price","Open","High","Low","Change %"
"Apr 01, 2022","0.1277","0.1277","0.1277","0.1276","0.00%"
"Mar 31, 2022","0.1277","0.1278","0.1278","0.1276","-0.06%"
"Mar 30, 2022","0.1278","0.1278","0.1278","0.1277","0.00%"
"Mar 29, 2022","0.1278","0.1277","0.1278","0.1277","0.00%"
"Mar 28, 2022","0.1277","0.1277","0.1278","0.1277","0.00%"
"Mar 25, 2022","0.1277","0.1278","0.1278","0.1277","-0.07%"
"Mar 24, 2022","0.1278","0.1278","0.1278","0.1278","0.00%"
"Mar 23, 2022","0.1278","0.1278","0.1278","0.1277","0.00%"
"Mar 22, 2022","0.1278","0.1278","0.1278","0.1277","0.00%"
"Mar 21, 2022","0.1278","0.1278","0.1278","0.1278","0.00%"
"Mar 18, 2022","0.1278","0.1279","0.1279","0.1278","-0.08%"
"Mar 17, 2022","0.1279","0.1279","0.1279","0.1278","0.00%"
"Mar 16, 2022","0.1279","0.1277","0.1279","0.1277","0.11%"
"Mar 15, 2022","0.1277","0.1277","0.1278","0.1277","0.00%"
"Mar 14, 2022","0.1277","0.1277","0.1278","0.1277","0.00%"
"Mar 11, 2022","0.1277","0.1278","0.1279","0.1277","-0.07%"
"Mar 10, 2022","0.1278","0.1279","0.1279","0.1278","-0.04%"
"Mar 09, 2022","0.1279","0.1279","0.1279","0.1279","0.00%"
"Mar 08, 2022","0.1279","0.1279","0.1279","0.1278","0.00%"
"Mar 07, 2022","0.1279","0.1280","0.1280","0.1279","-0.07%"
"Mar 04, 2022","0.1280","0.1279","0.1280","0.1279","0.00%"
"Mar 03, 2022","0.1279","0.1280","0.1280","0.1279","0.00%"
"Mar 02, 2022","0.1280","0.1279","0.1280","0.1279","0.00%"
"Mar 01, 2022","0.1279","0.1280","0.1280","0.1279","0.00%"
"Feb 28, 2022","0.1280","0.1281","0.1281","0.1280","-0.08%"
"Feb 25, 2022","0.1281","0.1281","0.1281","0.1280","0.00%"
"Feb 24, 2022","0.1281","0.1281","0.1281","0.1280","0.00%"
"Feb 23, 2022","0.1281","0.1282","0.1282","0.1281","-0.04%"
"Feb 22, 2022","0.1282","0.1282","0.1282","0.1281","0.00%"
"Feb 21, 2022","0.1282","0.1282","0.1282","0.1282","0.00%"
"Feb 18, 2022","0.1282","0.1282","0.1282","0.1282","0.00%"
"Feb 17, 2022","0.1282","0.1282","0.1282","0.1282","0.00%"
"Feb 16, 2022","0.1282","0.1282","0.1282","0.1282","0.00%"
"Feb 15, 2022","0.1282","0.1282","0.1282","0.1281","0.00%"
"Feb 14, 2022","0.1282","0.1282","0.1282","0.1281","0.00%"
"Feb 11, 2022","0.1282","0.1283","0.1283","0.1281","-0.06%"
"Feb 10, 2022","0.1283","0.1284","0.1284","0.1283","-0.06%"
"Feb 09, 2022","0.1284","0.1283","0.1284","0.1283","0.04%"
"Feb 08, 2022","0.1283","0.1283","0.1283","0.1283","0.00%"
"Feb 07, 2022","0.1283","0.1284","0.1284","0.1283","-0.05%"
"Feb 04, 2022","0.1284","0.1283","0.1284","0.1283","0.06%"
"Feb 03, 2022","0.1283","0.1283","0.1283","0.1282","0.00%"
"Feb 02, 2022","0.1283","0.1283","0.1283","0.1282","0.00%"
"Feb 01, 2022","0.1283","0.1282","0.1283","0.1282","0.04%"
"Jan 31, 2022","0.1282","0.1283","0.1283","0.1282","-0.06%"
"Jan 28, 2022","0.1283","0.1284","0.1284","0.1283","0.00%"
"Jan 27, 2022","0.1284","0.1284","0.1284","0.1283","0.00%"
"Jan 26, 2022","0.1284","0.1284","0.1285","0.1284","0.00%"
"Jan 25, 2022","0.1284","0.1284","0.1285","0.1284","0.00%"
"Jan 24, 2022","0.1284","0.1284","0.1285","0.1284","0.00%"
"Jan 21, 2022","0.1284","0.1284","0.1285","0.1284","0.00%"
"Jan 20, 2022","0.1284","0.1284","0.1285","0.1283","0.04%"
"Jan 19, 2022","0.1284","0.1283","0.1284","0.1283","0.00%"
"Jan 18, 2022","0.1283","0.1284","0.1284","0.1283","0.00%"
"Jan 17, 2022","0.1284","0.1285","0.1285","0.1283","-0.08%"
"Jan 14, 2022","0.1285","0.1284","0.1285","0.1284","0.00%"
"Jan 13, 2022","0.1284","0.1284","0.1284","0.1283","0.05%"
"Jan 12, 2022","0.1284","0.1283","0.1284","0.1282","0.06%"
"Jan 11, 2022","0.1283","0.1283","0.1283","0.1282","0.00%"
"Jan 10, 2022","0.1283","0.1282","0.1283","0.1282","0.00%"
"Jan 07, 2022","0.1282","0.1282","0.1283","0.1282","0.00%"
"Jan 06, 2022","0.1282","0.1283","0.1283","0.1282","-0.05%"
"Jan 05, 2022","0.1283","0.1283","0.1283","0.1283","-0.04%"
"Jan 04, 2022","0.1283","0.1282","0.1283","0.1282","0.05%"
"Jan 03, 2022","0.1282","0.1283","0.1283","0.1282","0.00%"
"Dec 31, 2021","0.1283","0.1282","0.1283","0.1282","0.04%"
"Dec 30, 2021","0.1282","0.1283","0.1283","0.1282","0.00%"
"Dec 29, 2021","0.1283","0.1282","0.1283","0.1282","0.00%"
"Dec 28, 2021","0.1282","0.1282","0.1282","0.1282","0.00%"
"Dec 27, 2021","0.1282","0.1282","0.1282","0.1282","0.00%"
"Dec 24, 2021","0.1282","0.1282","0.1282","0.1282","0.00%"
"Dec 23, 2021","0.1282","0.1282","0.1282","0.1282","0.00%"
"Dec 22, 2021","0.1282","0.1282","0.1282","0.1282","0.00%"
"Dec 21, 2021","0.1282","0.1282","0.1282","0.1282","0.00%"
"Dec 20, 2021","0.1282","0.1282","0.1282","0.1281","0.00%"
"Dec 17, 2021","0.1282","0.1281","0.1282","0.1281","0.00%"
"Dec 16, 2021","0.1281","0.1282","0.1282","0.1281","0.00%"
"Dec 15, 2021","0.1282","0.1282","0.1282","0.1281","0.00%"
"Dec 14, 2021","0.1282","0.1282","0.1282","0.1281","0.00%"
"Dec 13, 2021","0.1282","0.1282","0.1282","0.1281","0.00%"
"Dec 10, 2021","0.1282","0.1283","0.1283","0.1282","0.00%"
"Dec 09, 2021","0.1283","0.1282","0.1283","0.1282","0.00%"
"Dec 08, 2021","0.1282","0.1282","0.1283","0.1282","0.00%"
"Dec 07, 2021","0.1282","0.1282","0.1283","0.1282","0.00%"
"Dec 06, 2021","0.1282","0.1283","0.1283","0.1282","-0.07%"
"Dec 03, 2021","0.1283","0.1284","0.1284","0.1282","-0.04%"
"Dec 02, 2021","0.1284","0.1283","0.1284","0.1283","0.00%"
"Dec 01, 2021","0.1283","0.1282","0.1284","0.1282","0.06%"
"Nov 30, 2021","0.1282","0.1282","0.1283","0.1282","0.00%"
"Nov 29, 2021","0.1282","0.1282","0.1282","0.1282","0.00%"
"Nov 26, 2021","0.1282","0.1283","0.1283","0.1282","0.00%"
"Nov 25, 2021","0.1283","0.1282","0.1283","0.1282","0.00%"
"Nov 24, 2021","0.1282","0.1283","0.1283","0.1282","-0.06%"
"Nov 23, 2021","0.1283","0.1284","0.1284","0.1283","-0.06%"
"Nov 22, 2021","0.1284","0.1284","0.1284","0.1283","0.00%"
"Nov 19, 2021","0.1284","0.1284","0.1284","0.1283","0.00%"
"Nov 18, 2021","0.1284","0.1284","0.1284","0.1284","0.00%"
"Nov 17, 2021","0.1284","0.1284","0.1284","0.1284","0.00%"
"Nov 16, 2021","0.1284","0.1284","0.1284","0.1284","0.00%"
"Nov 15, 2021","0.1284","0.1284","0.1284","0.1283","0.00%"
"Nov 12, 2021","0.1284","0.1283","0.1284","0.1283","0.00%"
"Nov 11, 2021","0.1283","0.1283","0.1284","0.1283","0.00%"
"Nov 10, 2021","0.1283","0.1284","0.1284","0.1283","0.00%"
"Nov 09, 2021","0.1284","0.1284","0.1284","0.1283","0.00%"
"Nov 08, 2021","0.1284","0.1285","0.1285","0.1284","-0.06%"
"Nov 05, 2021","0.1285","0.1285","0.1285","0.1284","0.00%"
"Nov 04, 2021","0.1285","0.1285","0.1285","0.1285","0.00%"
"Nov 03, 2021","0.1285","0.1285","0.1285","0.1284","0.00%"
"Nov 02, 2021","0.1285","0.1285","0.1285","0.1285","0.00%"
"Nov 01, 2021","0.1285","0.1286","0.1286","0.1285","-0.05%"
"Oct 29, 2021","0.1285","0.1286","0.1286","0.1285","0.00%"
"Oct 28, 2021","0.1286","0.1286","0.1286","0.1286","0.00%"
"Oct 27, 2021","0.1286","0.1286","0.1286","0.1285","0.00%"
"Oct 26, 2021","0.1286","0.1286","0.1286","0.1286","0.00%"
"Oct 25, 2021","0.1286","0.1286","0.1287","0.1286","0.00%"
"Oct 22, 2021","0.1286","0.1286","0.1287","0.1286","0.00%"
"Oct 21, 2021","0.1286","0.1286","0.1287","0.1286","0.00%"
"Oct 20, 2021","0.1286","0.1286","0.1287","0.1286","0.00%"
"Oct 19, 2021","0.1286","0.1286","0.1286","0.1285","0.00%"
"Oct 18, 2021","0.1286","0.1286","0.1286","0.1285","0.00%"
"Oct 15, 2021","0.1286","0.1286","0.1286","0.1285","0.00%"
"Oct 14, 2021","0.1286","0.1285","0.1286","0.1285","0.00%"
"Oct 13, 2021","0.1285","0.1285","0.1286","0.1285","0.00%"
"Oct 12, 2021","0.1285","0.1286","0.1286","0.1285","-0.05%"
"Oct 11, 2021","0.1286","0.1285","0.1286","0.1284","0.08%"
"Oct 08, 2021","0.1285","0.1285","0.1285","0.1284","0.00%"
"Oct 07, 2021","0.1285","0.1284","0.1285","0.1284","0.00%"
"Oct 06, 2021","0.1284","0.1284","0.1285","0.1284","0.00%"
"Oct 05, 2021","0.1284","0.1284","0.1285","0.1284","0.00%"
"Oct 04, 2021","0.1284","0.1285","0.1285","0.1284","0.00%"
"Oct 01, 2021","0.1285","0.1284","0.1285","0.1284","0.00%"
"Sep 30, 2021","0.1284","0.1284","0.1285","0.1284","0.00%"
"Sep 29, 2021","0.1284","0.1285","0.1285","0.1284","0.00%"
