Effective Date;Rate Type;Rate (%);1st Percentile (%);25th Percentile (%);75th Percentile (%);99th Percentile (%);Volume ($Billions);Target Rate From (%);Target Rate To (%);Intra Day - Low (%);Intra Day - High (%);Standard Deviation (%);30-Day Average SOFR;90-Day Average SOFR;180-Day Average SOFR;SOFR Index;Revision Indicator (Y/N);Footnote ID
03/03/2022;EFFR;0,08;0,06;0,07;0,09;0,11;68;0;0,25;;;;;;;;;
03/02/2022;EFFR;0,08;0,06;0,07;0,09;0,11;70;0;0,25;;;;;;;;;
03/01/2022;EFFR;0,08;0,06;0,08;0,09;0,18;64;0;0,25;;;;;;;;;
02/28/2022;EFFR;0,08;0,06;0,07;0,09;0,18;65;0;0,25;;;;;;;;;
02/25/2022;EFFR;0,08;0,06;0,07;0,09;0,17;69;0;0,25;;;;;;;;;
02/24/2022;EFFR;0,08;0,06;0,07;0,09;0,11;64;0;0,25;;;;;;;;;
02/23/2022;EFFR;0,08;0,06;0,07;0,08;0,16;72;0;0,25;;;;;;;;;
02/22/2022;EFFR;0,08;0,06;0,07;0,08;0,2;72;0;0,25;;;;;;;;;
02/18/2022;EFFR;0,08;0,06;0,07;0,09;0,2;71;0;0,25;;;;;;;;;
02/17/2022;EFFR;0,08;0,06;0,07;0,08;0,18;73;0;0,25;;;;;;;;;
02/16/2022;EFFR;0,08;0,06;0,07;0,08;0,11;70;0;0,25;;;;;;;;;
02/15/2022;EFFR;0,08;0,06;0,07;0,08;0,1;65;0;0,25;;;;;;;;;
02/14/2022;EFFR;0,08;0,06;0,07;0,08;0,1;63;0;0,25;;;;;;;;;
02/11/2022;EFFR;0,08;0,06;0,07;0,08;0,11;67;0;0,25;;;;;;;;;
02/10/2022;EFFR;0,08;0,06;0,07;0,08;0,11;71;0;0,25;;;;;;;;;
02/09/2022;EFFR;0,08;0,06;0,07;0,08;0,1;70;0;0,25;;;;;;;;;
02/08/2022;EFFR;0,08;0,06;0,07;0,08;0,11;70;0;0,25;;;;;;;;;
02/07/2022;EFFR;0,08;0,06;0,07;0,08;0,11;72;0;0,25;;;;;;;;;
02/04/2022;EFFR;0,08;0,06;0,07;0,08;0,1;69;0;0,25;;;;;;;;;
02/03/2022;EFFR;0,08;0,06;0,07;0,08;0,2;72;0;0,25;;;;;;;;;
02/02/2022;EFFR;0,08;0,06;0,07;0,08;0,1;72;0;0,25;;;;;;;;;
02/01/2022;EFFR;0,08;0,06;0,07;0,08;0,1;75;0;0,25;;;;;;;;;
01/31/2022;EFFR;0,08;0,05;0,07;0,08;0,1;78;0;0,25;;;;;;;;;
01/28/2022;EFFR;0,08;0,06;0,07;0,08;0,16;82;0;0,25;;;;;;;;;
01/27/2022;EFFR;0,08;0,06;0,07;0,08;0,2;80;0;0,25;;;;;;;;;
01/26/2022;EFFR;0,08;0,06;0,07;0,08;0,2;78;0;0,25;;;;;;;;;
01/25/2022;EFFR;0,08;0,06;0,07;0,08;0,2;78;0;0,25;;;;;;;;;
01/24/2022;EFFR;0,08;0,06;0,07;0,08;0,2;75;0;0,25;;;;;;;;;
01/21/2022;EFFR;0,08;0,06;0,07;0,08;0,2;76;0;0,25;;;;;;;;;
01/20/2022;EFFR;0,08;0,06;0,07;0,08;0,2;75;0;0,25;;;;;;;;;
01/19/2022;EFFR;0,08;0,06;0,07;0,08;0,2;73;0;0,25;;;;;;;;;
01/18/2022;EFFR;0,08;0,06;0,07;0,08;0,16;71;0;0,25;;;;;;;;;
01/14/2022;EFFR;0,08;0,06;0,07;0,08;0,1;72;0;0,25;;;;;;;;;
01/13/2022;EFFR;0,08;0,06;0,07;0,08;0,1;71;0;0,25;;;;;;;;;
01/12/2022;EFFR;0,08;0,05;0,07;0,08;0,1;70;0;0,25;;;;;;;;;
01/11/2022;EFFR;0,08;0,05;0,07;0,08;0,1;71;0;0,25;;;;;;;;;
01/10/2022;EFFR;0,08;0,06;0,07;0,08;0,1;71;0;0,25;;;;;;;;;
01/07/2022;EFFR;0,08;0,06;0,07;0,08;0,1;71;0;0,25;;;;;;;;;
01/06/2022;EFFR;0,08;0,06;0,07;0,08;0,1;73;0;0,25;;;;;;;;;
